"Order_ID","Order_Date","Order_Month","Customer","Region","City","Sales_Channel","Product_Category","Product","Quantity","Unit_Price","Revenue","Cost","Profit","Sales_Representative","Status"
"ORD-2025-0062","2025-11-14","2025-11","Fictional Enterprise 007","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","255","765","527.85","237.15","Omar Haddad","Completed"
"ORD-2025-0063","2025-11-25","2025-11","Fictional Enterprise 020","Eastern","Dammam","Digital","Governance","Control Center","2","187.5","375.0","271.88","103.12","Lina Nasser","Completed"
"ORD-2025-0064","2025-12-06","2025-12","Fictional Enterprise 033","Northern","Tabuk","Partner","Operations","Process Monitor","1","155","155","117.80","37.20","Yousef Karim","In Progress"
"ORD-2025-0065","2025-12-17","2025-12","Fictional Enterprise 046","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","222.5","1780.0","1103.60","676.40","Sara Mansour","Completed"
"ORD-2025-0066","2025-12-28","2025-12","Fictional Enterprise 059","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","240","1680","1100.40","579.60","Fahad Rahman","Completed"
"ORD-2025-0067","2025-01-08","2025-01","Fictional Enterprise 072","Eastern","Dammam","Digital","Governance","Control Center","6","172.5","1035.0","714.15","320.85","Amina Saleh","Completed"
"ORD-2025-0068","2025-01-19","2025-01","Fictional Enterprise 085","Northern","Tabuk","Partner","Operations","Process Monitor","5","140","700","507.50","192.50","Omar Haddad","In Progress"
"ORD-2025-0069","2025-01-30","2025-01","Fictional Enterprise 098","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","4","207.5","830.0","630.80","199.20","Lina Nasser","Completed"
"ORD-2025-0070","2025-02-10","2025-02","Fictional Enterprise 111","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","270","810","502.20","307.80","Yousef Karim","Completed"
"ORD-2025-0071","2025-02-21","2025-02","Fictional Enterprise 124","Eastern","Dammam","Digital","Governance","Control Center","2","202.5","405.0","265.28","139.72","Sara Mansour","Completed"
"ORD-2025-0072","2025-03-04","2025-03","Fictional Enterprise 137","Northern","Tabuk","Partner","Operations","Process Monitor","1","125","125","86.25","38.75","Fahad Rahman","In Progress"
"ORD-2025-0073","2025-03-15","2025-03","Fictional Enterprise 150","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","192.5","1540.0","1116.50","423.50","Amina Saleh","Completed"
"ORD-2025-0074","2025-03-26","2025-03","Fictional Enterprise 003","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","255","1785","1356.60","428.40","Omar Haddad","Completed"
"ORD-2025-0075","2025-04-06","2025-04","Fictional Enterprise 016","Eastern","Dammam","Digital","Governance","Control Center","6","187.5","1125.0","697.50","427.50","Lina Nasser","Completed"
"ORD-2025-0076","2025-04-17","2025-04","Fictional Enterprise 029","Northern","Tabuk","Partner","Operations","Process Monitor","5","155","775","507.62","267.38","Yousef Karim","In Progress"
"ORD-2025-0077","2025-04-28","2025-04","Fictional Enterprise 042","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","4","222.5","890.0","614.10","275.90","Sara Mansour","Completed"
"ORD-2025-0078","2025-05-09","2025-05","Fictional Enterprise 055","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","240","720","522.00","198.00","Fahad Rahman","Completed"
"ORD-2025-0079","2025-05-20","2025-05","Fictional Enterprise 068","Eastern","Dammam","Digital","Governance","Control Center","2","172.5","345.0","262.20","82.80","Amina Saleh","Completed"
"ORD-2025-0080","2025-05-31","2025-05","Fictional Enterprise 081","Northern","Tabuk","Partner","Operations","Process Monitor","1","140","140","86.80","53.20","Omar Haddad","In Progress"
"ORD-2025-0081","2025-06-11","2025-06","Fictional Enterprise 094","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","207.5","1660.0","1087.30","572.70","Lina Nasser","Completed"
"ORD-2025-0082","2025-06-22","2025-06","Fictional Enterprise 107","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","270","1890","1304.10","585.90","Yousef Karim","Completed"
"ORD-2025-0083","2025-07-03","2025-07","Fictional Enterprise 120","Eastern","Dammam","Digital","Governance","Control Center","6","202.5","1215.0","880.88","334.12","Sara Mansour","Completed"
"ORD-2025-0084","2025-07-14","2025-07","Fictional Enterprise 133","Northern","Tabuk","Partner","Operations","Process Monitor","5","125","625","475.00","150.00","Fahad Rahman","In Progress"
"ORD-2025-0085","2025-07-25","2025-07","Fictional Enterprise 146","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","4","192.5","770.0","477.40","292.60","Amina Saleh","Completed"
"ORD-2025-0086","2025-08-05","2025-08","Fictional Enterprise 159","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","255","765","501.08","263.92","Omar Haddad","Completed"
"ORD-2025-0087","2025-08-16","2025-08","Fictional Enterprise 012","Eastern","Dammam","Digital","Governance","Control Center","2","187.5","375.0","258.75","116.25","Lina Nasser","Completed"
"ORD-2025-0088","2025-08-27","2025-08","Fictional Enterprise 025","Northern","Tabuk","Partner","Operations","Process Monitor","1","155","155","112.38","42.62","Yousef Karim","In Progress"
"ORD-2025-0089","2025-09-07","2025-09","Fictional Enterprise 038","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","222.5","1780.0","1352.80","427.20","Sara Mansour","Completed"
"ORD-2025-0090","2025-09-18","2025-09","Fictional Enterprise 051","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","240","1680","1041.60","638.40","Fahad Rahman","Completed"
"ORD-2025-0091","2025-09-29","2025-09","Fictional Enterprise 064","Eastern","Dammam","Digital","Governance","Control Center","6","172.5","1035.0","677.92","357.08","Amina Saleh","Completed"
"ORD-2025-0092","2025-10-10","2025-10","Fictional Enterprise 077","Northern","Tabuk","Partner","Operations","Process Monitor","5","140","700","483.00","217.00","Omar Haddad","In Progress"
"ORD-2025-0093","2025-10-21","2025-10","Fictional Enterprise 090","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","4","207.5","830.0","601.75","228.25","Lina Nasser","Completed"
"ORD-2025-0094","2025-11-01","2025-11","Fictional Enterprise 103","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","270","810","615.60","194.40","Yousef Karim","Completed"
"ORD-2025-0095","2025-11-12","2025-11","Fictional Enterprise 116","Eastern","Dammam","Digital","Governance","Control Center","2","202.5","405.0","251.10","153.90","Sara Mansour","Completed"
"ORD-2025-0096","2025-11-23","2025-11","Fictional Enterprise 129","Northern","Tabuk","Partner","Operations","Process Monitor","1","125","125","81.88","43.12","Fahad Rahman","In Progress"
"ORD-2025-0097","2025-12-04","2025-12","Fictional Enterprise 142","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","192.5","1540.0","1062.60","477.40","Amina Saleh","Completed"
"ORD-2025-0098","2025-12-15","2025-12","Fictional Enterprise 155","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","255","1785","1294.12","490.88","Omar Haddad","Completed"
"ORD-2025-0099","2025-12-26","2025-12","Fictional Enterprise 008","Eastern","Dammam","Digital","Governance","Control Center","6","187.5","1125.0","855.00","270.00","Lina Nasser","Completed"
"ORD-2025-0100","2025-01-06","2025-01","Fictional Enterprise 021","Northern","Tabuk","Partner","Operations","Process Monitor","5","155","775","480.50","294.50","Yousef Karim","In Progress"
"ORD-2025-0101","2025-01-17","2025-01","Fictional Enterprise 034","Central","Riyadh","Enterprise Direct",,"Insight Suite","4","222.5","890.0","582.95","307.05","Sara Mansour","Completed"
"ORD-2025-0102","2025-01-28","2025-01","Fictional Enterprise 047","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","240","720","496.80","223.20","Fahad Rahman","Completed"
"ORD-2025-0103","2025-02-08","2025-02","Fictional Enterprise 060","Eastern","Dammam","Digital","Governance","Control Center","2","172.5","345.0","250.12","94.88","Amina Saleh","Completed"
"ORD-2025-0104","2025-02-19","2025-02","Fictional Enterprise 073","Northern","Tabuk","Partner","Operations","Process Monitor","1","140","140","106.40","33.60","Omar Haddad","In Progress"
"ORD-2025-0105","2025-03-02","2025-03","Fictional Enterprise 086","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","207.5","1660.0","1029.20","630.80","Lina Nasser","Completed"
"ORD-2025-0106","2025-03-13","2025-03","Fictional Enterprise 099","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","270","1890","1237.95","652.05","Yousef Karim","Completed"
"ORD-2025-0107","2025-03-24","2025-03","Fictional Enterprise 112","Eastern","Dammam","Digital","Governance","Control Center","6","202.5","1215.0","838.35","376.65","Sara Mansour","Completed"
"ORD-2025-0108","2025-04-04","2025-04","Fictional Enterprise 125","Northern","Tabuk","Partner","Operations","Process Monitor","5","125","625","453.12","171.88","Fahad Rahman","In Progress"
"ORD-2025-0109","2025-04-15","2025-04","Fictional Enterprise 138","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","4","192.5","770.0","585.20","184.80","Amina Saleh","Completed"
"ORD-2025-0110","2025-04-26","2025-04","Fictional Enterprise 151","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","255","765","474.30","290.70","Omar Haddad","Completed"
"ORD-2025-0111","2025-05-07","2025-05","Fictional Enterprise 004","Eastern","Dammam","Digital","Governance","Control Center","2","187.5","375.0","245.62","129.38","Lina Nasser","Completed"
"ORD-2025-0112","2025-05-18","2025-05","Fictional Enterprise 017","Northern","Tabuk","Partner","Operations","Process Monitor","1","155","155","106.95","48.05","Yousef Karim","In Progress"
"ORD-2025-0113","2025-05-29","2025-05","Fictional Enterprise 030","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","222.5","1780.0","1290.50","489.50","Sara Mansour","Completed"
"ORD-2025-0114","2025-06-09","2025-06","Fictional Enterprise 043","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","240","1680","1276.80","403.20","Fahad Rahman","Completed"
"ORD-2025-0115","2025-06-20","2025-06","Fictional Enterprise 056","Eastern","Dammam","Digital","Governance","Control Center","6","172.5","1035.0","641.70","393.30","Amina Saleh","Completed"
"ORD-2025-0116","2025-07-01","2025-07","Fictional Enterprise 069","Northern","Tabuk","Partner","Operations","Process Monitor","5","140","700","458.50","241.50","Omar Haddad","In Progress"
"ORD-2025-0117","2025-07-12","2025-07","Fictional Enterprise 082","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","4","207.5","830.0","572.70","257.30","Lina Nasser","Completed"
"ORD-2025-0118","2025-07-23","2025-07","Fictional Enterprise 095","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","270","810","587.25","222.75","Yousef Karim","Completed"
"ORD-2025-0119","2025-08-03","2025-08","Fictional Enterprise 108","Eastern","Dammam","Digital","Governance","Control Center","2","202.5","405.0","307.80","97.20","Sara Mansour","Completed"
"ORD-2025-0120","2025-08-14","2025-08","Fictional Enterprise 121","Northern","Tabuk","Partner","Operations","Process Monitor","1","125","125","77.50","47.50","Fahad Rahman","In Progress"
"ORD-2025-0121","2025-08-25","2025-08","Fictional Enterprise 134","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","192.5","1540.0","1008.70","531.30","Amina Saleh","Completed"
"ORD-2025-0122","2025-09-05","2025-09","Fictional Enterprise 147","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","255","1785","1231.65","553.35","Omar Haddad","Completed"
"ORD-2025-0123","2025-09-16","2025-09","Fictional Enterprise 160","Eastern","Dammam","Digital","Governance","Control Center","6","187.5","1125.0","815.62","309.38","Lina Nasser","Completed"
"ORD-2025-0124","2025-09-27","2025-09","Fictional Enterprise 013","Northern","Tabuk","Partner","Operations","Process Monitor","5","155","775","589.00","186.00","Yousef Karim","In Progress"
"ORD-2025-0125","2025-10-08","2025-10","Fictional Enterprise 026","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","4","222.5","890.0","551.80","338.20","Sara Mansour","Completed"
"ORD-2025-0126","2025-10-19","2025-10","Fictional Enterprise 039","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","240","720","471.60","248.40","Fahad Rahman","Completed"
"ORD-2025-0127","2025-10-30","2025-10","Fictional Enterprise 052","Eastern","Dammam","Digital","Governance","Control Center","2","172.5","345.0","238.05","106.95","Amina Saleh","Completed"
"ORD-2025-0128","2025-11-10","2025-11","Fictional Enterprise 065","Northern","Tabuk","Partner","Operations","Process Monitor","1","140","140","101.50","38.50","Omar Haddad","In Progress"
"ORD-2025-0129","2025-11-21","2025-11","Fictional Enterprise 078","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","207.5","1660.0","1261.60","398.40","Lina Nasser","Completed"
"ORD-2025-0130","2025-12-02","2025-12","Fictional Enterprise 091","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","270","1890","1171.80","718.20","Yousef Karim","Completed"
"ORD-2025-0131","2025-12-13","2025-12","Fictional Enterprise 104","Eastern","Dammam","Digital","Governance","Control Center","6","202.5","1215.0","795.82","419.18","Sara Mansour","Completed"
"ORD-2025-0132","2025-12-24","2025-12","Fictional Enterprise 117","Northern","Tabuk","Partner","Operations","Process Monitor","5","125","625","431.25","193.75","Fahad Rahman","In Progress"
"ORD-2025-0133","2025-01-04","2025-01","Fictional Enterprise 130","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","4","192.5","770.0","558.25","211.75","Amina Saleh","Completed"
"ORD-2025-0134","2025-01-15","2025-01","Fictional Enterprise 143","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","255","765","581.40","183.60","Omar Haddad","Completed"
"ORD-2025-0135","2025-01-26","2025-01","Fictional Enterprise 156","Eastern","Dammam","Digital","Governance","Control Center","2","187.5","375.0","232.50","142.50","Lina Nasser","Completed"
"ORD-2025-0136","2025-02-06","2025-02","Fictional Enterprise 009","Northern","Tabuk","Partner","Operations","Process Monitor","1","155","155","101.52","53.48","Yousef Karim","In Progress"
"ORD-2025-0137","2025-02-17","2025-02","Fictional Enterprise 022","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","222.5","1780.0","1228.20","551.80","Sara Mansour","Completed"
"ORD-2025-0138","2025-02-28","2025-02","Fictional Enterprise 035","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","240","1680","1218.00","462.00","Fahad Rahman","Completed"
"ORD-2025-0139","2025-03-11","2025-03","Fictional Enterprise 048","Eastern","Dammam","Digital","Governance","Control Center","6","172.5","1035.0","786.60","248.40","Amina Saleh","Completed"
"ORD-2025-0140","2025-03-22","2025-03","Fictional Enterprise 061","Northern","Tabuk","Partner","Operations","Process Monitor","5","140","700","434.00","266.00","Omar Haddad","In Progress"
"ORD-2025-0141","2025-04-02","2025-04","Fictional Enterprise 074","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","4","207.5","830.0","543.65","286.35","Lina Nasser","Completed"
"ORD-2025-0142","2025-04-13","2025-04","Fictional Enterprise 087","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","270","810","558.90","251.10","Yousef Karim","Completed"
"ORD-2025-0143","2025-04-24","2025-04","Fictional Enterprise 100","Eastern","Dammam","Digital","Governance","Control Center","2","202.5","405.0","293.62","111.38","Sara Mansour","Completed"
"ORD-2025-0144","2025-05-05","2025-05","Fictional Enterprise 113","Northern","Tabuk","Partner","Operations","Process Monitor","1","125","125","95.00","30.00","Fahad Rahman","In Progress"
"ORD-2025-0145","2025-05-16","2025-05","Fictional Enterprise 126","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","8","192.5","1540.0","954.80","585.20","Amina Saleh","Completed"
"ORD-2025-0146","2025-05-27","2025-05","Fictional Enterprise 139","Western","Jeddah","Inside Sales","Data Management","Data Hub","7","255","1785","1169.18","615.82","Omar Haddad","Completed"
"ORD-2025-0147","2025-06-07","2025-06","Fictional Enterprise 152","Eastern","Dammam","Digital","Governance","Control Center","6","187.5","1125.0","776.25","348.75","Lina Nasser","Completed"
"ORD-2025-0148","2025-06-18","2025-06","Fictional Enterprise 005","Northern","Tabuk","Partner","Operations","Process Monitor","5","155","775","561.88","213.12","Yousef Karim","In Progress"
"ORD-2025-0149","2025-06-29","2025-06","Fictional Enterprise 018","Central","Riyadh","Enterprise Direct","Analytics","Insight Suite","4","222.5","890.0","676.40","213.60","Sara Mansour","Completed"
"ORD-2025-0150","2025-07-10","2025-07","Fictional Enterprise 031","Western","Jeddah","Inside Sales","Data Management","Data Hub","3","240","720","446.40","273.60","Fahad Rahman","Completed"
"ORD-2025-0151","2025-07-21","2025-07","Fictional Enterprise 044","Eastern","Dammam","Digital","Governance","Control Center","2","172.5","345.0","225.98","119.02","Amina Saleh","Completed"
